"name,age,street,city,state,zip,lng,lat"
"Jonathan Johnson,34,8121 Ryan Hills Suite 417,New Tonyview,Wyoming,99784,75.558819,85.296033"
"Robert Cohen,37,453 Cook Fort,Halltown,South Carolina,86517,-140.367059,-38.6603055"
"Connie Snyder,69,8763 Bishop Mountains,Hooverberg,Texas,21523,-13.631184,-52.754059"
"Jamie Sparks,38,49415 Smith Islands Suite 293,Lake Ralph,South Dakota,61877,-2.818236,-37.5425845"
"Dr. Joseph Larsen,46,7746 Alyssa Lodge,Port Austin,Vermont,72497,-53.987062,-33.243039"
"Melissa Rodriguez,36,0120 Hester Port,Alyssaton,Maryland,26849,-96.851772,-73.431284"
"Kayla King,44,4431 Kimberly Throughway,Kingland,Utah,34933,-102.560026,32.3841745"
"Heather Nash,35,02026 Hayden Station Apt. 086,West Richard,Vermont,26082,-71.402144,59.486187"
"Kiara Hunter,45,6601 Martinez Mountain,Weaverport,Tennessee,71014,-89.604678,57.8246725"
"Brenda Monroe,34,5679 Adams Path Apt. 619,North Michaelborough,Iowa,41652,107.177404,55.922283"
"Jonathan Lawson,58,78777 Mark Spring,Perezmouth,Oregon,98946,-164.563860,-76.4345565"
"Shannon Norton,62,73876 Michele Hill Apt. 855,Davidfurt,Rhode Island,43988,31.813711,-12.536834"
"James Peterson,78,638 Wilson Motorway Apt. 144,Kingland,Washington,10090,165.343492,-13.5573075"
"Destiny Pierce,21,4837 Sharon Harbors Apt. 045,Port Jeremy,Iowa,81361,-47.203871,-70.4326695"
"Lisa Baird,49,06866 Daniel Crossing,New Maryview,Mississippi,34663,85.766435,30.9350935"
"Mark Huffman,18,5817 Morris Radial Suite 332,West Karen,Kentucky,18136,-85.199775,-12.958250"
"Kathleen Bishop,77,3496 Williams Port,Melissaberg,Oregon,33446,-89.723416,-44.7945575"
"Brittany Long,37,8296 Miller Union,West Jesusmouth,Louisiana,60030,-147.705253,-1.369064"
"Drew Day,63,2883 Sharon Mountains,Connieburgh,Pennsylvania,06345,30.635044,66.2866615"
"Justin Ware,45,961 Duffy Tunnel Apt. 912,Montoyastad,Maine,24049,-4.159080,-2.190034"
"Brian Clark,48,70437 Nelson Mews,East Bonnieside,Alaska,85398,14.263972,87.648418"
"Tracy Patterson,41,673 Mills Knolls Suite 988,North Lori,Ohio,08355,-18.490229,-47.226368"
